-9080	-39087
-64285	96031
70722	-83282
-69866	-62325
40425	-29344
-72372	90220
8535	92245
49998	49630
-99608	-1628
60379	80756
-95942	-11340
77227	-74831
80755	-98936
41041	-53393
26434	-80998
-8415	70498
-72516	-11816
-77045	78879
-33682	34213
-50345	-66810
1491	11366
-61094	14789
-27793	58429
42737	96664
-41471	89224
97995	89720
66282	3489
53191	-56871
99605	-31990
28221	-79372
-65715	88429
-83732	23280
11456	68897
-3189	-15907
33961	-60245
44447	21027
-33413	22684
90326	2299
16600	-1728
-78682	51537
2450	42695
-13422	-99795
6207	-91757
22040	80865
49239	-63354
387	-52787
-69170	-85323
-32592	-94529
-74112	8288
-64792	-53407
-49410	-55499
68546	-20120
73754	-50429
-77335	-14036
76919	97425
69285	30794
-52442	74143
82014	-87907
-72434	-77737
-56774	45915
33077	92941
81572	-56685
11882	-95502
52542	75765
-88841	82672
-65852	82835
-9078	40866
25540	-63199
37546	-52043
8497	46210
6896	26755
-39982	-45921
-41917	-72083
88831	66276
26502	32181
9441	-68230
-71190	-52009
-35575	-11181
-7338	92137
58983	-10200
-39521	67760
81347	-77742
29213	-12909
48447	-45103
-42962	-74439
38329	-45381
-6943	-60593
-50893	44322
67594	-69329
-41162	-98899
-81679	-98510
51500	30576
21402	3843
21346	95492
-52940	61411
71200	-74647
65401	-83021
79864	88728
-8987	41816
29600	71025
-26161	-67288
-43265	-32124
18969	-82118
-83256	-22057
49503	94685
39755	58818
-85744	30117
-6774	95825
86103	-30687
65616	25924
96890	17770
38200	-42468
-88677	89794
21737	31989
-45076	-51353
-99470	-16513
-19909	3168
-51513	71713
-20491	71102
-39900	85040
-62426	71188
73846	42020
-51782	-36007
-43673	55052
-78546	25807
-37470	-37526
-48849	-89624
90914	-16024
23003	-69973
11615	9098
-95642	-29269
-38151	-10276
-23514	44937
74688	74856
45112	81484
-64291	-410
-3569	-46323
46552	20095
-46440	-45380
15289	-27471
-67703	-56860
90532	26220
95281	4167
-90423	48
-39940	94178
40390	-84119
-70705	-24680
63129	-25987
80267	-18901
-41095	-47033
76035	2005
51853	-40359
-57932	-68766
85125	85665
89830	68645
2246	61962
-37220	45359
52347	45896
30421	-98070
-58889	24028
-37513	29744
-91169	-31629
78044	-31653
32793	45162
-16761	-59378
-76698	42591
86614	-96721
-89058	-42493
12353	-8147
7258	-38963
19533	-52571
-38127	-50816
-20634	26563
36111	-23155
62664	16371
66511	72315
46154	-96457
1213	34256
58993	78993
-42012	24205
59776	99187
-25226	85105
-40483	-29377
1899	-60034
87538	75753
-80281	-45358
34884	16616
56265	-15146
3841	16718
26509	-30039
42321	92187
-81777	-15386
-51678	-19972
-91043	14325
-7625	-5741
-85525	-17902
-75171	-29994
41077	-79344
10010	51129
42540	58452
60766	78704
66987	-32514
34571	-54294
-80180	7149
96324	97485
65903	90634
-46826	-21868
47530	99138
-76856	49615
-95744	73912
12022	43536
-53490	27412
41934	-55358
56963	32114
207	50733
-28040	-30746
58580	-94655
-70120	-50407
-49490	-42377
64120	-45541
-11729	68036
-34532	87697
-48264	49091
-58066	-22201
-12822	-93003
63712	-75658
-82879	-66827
96725	-55968
-18781	83830
-99687	-60990
3333	-18714
-7085	-16291
-88571	-27496
-25810	6451
24600	-11714
-67182	-71915
-34517	60873
66323	12369
56507	78150
92540	-18593
14894	79466
41966	-45625
73978	-68947
86012	78850
-72587	-41703
-21733	41486
-82021	57626
64203	68395
74177	-37482
49317	-44546
-64512	96180
6518	-95065
1118	7655
50664	87201
87235	-41336
-88565	94862
84177	5235
95333	11654
-32233	-98846
43407	79459
37853	-60416
63361	-85758
32362	44645
43049	95334
-3388	26557
36898	-67647
-24679	-78074
-42344	-99787
-61306	-44992
2899	25024
54169	76331
99077	2351
71842	61758
-44565	34148
4296	-11868
85970	81852
50491	-59138
-20344	50475
38580	54360
77485	-57823
-56048	37939
-50554	47697
76506	-2151
55388	-19878
-74899	30355
-79223	-2109
-2679	-68742
61670	12542
99136	44049
-47171	-68404
-38239	-48123
-51329	-51886
-58095	7759
-61126	55828
96873	-7012
48737	42409
67351	95451
78975	93280
88465	-92447
20468	-75446
93605	57731
76523	56022
75722	10034
-21444	33781
27251	93002
-9352	-83041
92503	-47903
64270	-45880
35302	-40828
-73472	92338
-50123	58009
63605	-14464
-75588	76676
-4359	98586
-95601	95489
-69866	-60210
96858	23605
27973	-3246
-93320	-92199
-80411	-711
2827	73714
-31774	87856
74769	-17123
93202	-72773
-41469	78096
-61944	-27624
86887	85242
-3156	-32712
49690	41305
-3631	-62766
38040	-73479
-27012	21189
89905	-7301
79702	83481
-44961	-99679
12522	-57650
53461	3801
54737	58016
14466	-42742
-96542	33973
52086	52437
64955	-97405
-41891	-54087
83553	89809
-24797	84460
3485	-16577
50410	-4494
53882	-34111
-36807	73811
-5840	14601
-27566	-33949
60393	-78485
-66783	-68277
12822	38721
96921	41799
471	17769
27118	-34162
30912	77877
38923	-6276
-38449	-88148
-99062	40018
-86643	18380
26581	86853
48798	35500
25577	35630
-47196	-57536
86553	58209
8900	-4208
18132	65101
-27772	-29747
88640	41157
6994	86597
73439	-61506
-22062	-74727
-55862	-38072
-36236	48979
15359	33925
-4983	-13200
-97569	-15897
-90268	68800
-62669	-27435
-32768	-57688
-59611	26846
63791	49843
51725	-50961
53436	-96666
89064	32648
-7013	50705
17533	17977
-97501	-2045
-7753	-89608
60605	23751
65915	87522
-61198	3298
41402	-70505
19578	44428
93149	20556
-59686	-68769
81504	-9083
58242	69181
-59497	94444
41294	30580
-67676	50823
55496	-89702
-69438	-79946
-58348	-80844
19694	22675
52361	-34070
-20451	-29138
-45017	8849
61259	-66466
-2993	93582
55163	-77099
-22676	37088
1282	-39650
70244	65360
-530	56345
-91346	-32063
39007	22037
-51460	93240
-13626	19506
-90825	-23882
45121	53094
11572	-37335
-66797	-93969
-77601	77235
-89155	-65435
-48645	-37285
35941	46072
-52923	17486
24192	-91882
89982	51176
47636	-37784
-10000	86135
-82094	-50981
-37008	-57254
-30487	-9047
81700	-35963
-16367	23794
-24587	58695
74330	-79530
-12912	-28509
-3157	8345
-12498	-73774
31501	45538
93059	-71299
47039	92307
-62780	65860
-46479	90292
5085	92125
-82221	-54558
56460	55076
33222	99669
34848	80007
11052	-28179
88081	-93459
91397	50291
10924	-49650
-39471	27605
-39243	-50839
4316	-18415
94557	44631
-71773	28189
28682	50272
30667	97896
-67442	60533
29112	-79506
33173	67233
-92545	-57595
-70640	66968
-21821	-53811
-6823	66705
34397	-6396
70244	24687
-95465	-28368
81737	99904
-83676	85134
-22203	25743
-72985	-89710
-4562	-27899
83144	99752
-66395	-84904
-64130	-86553
-26139	94655
-43114	38209
47229	7647
75046	54954
76083	-42143
-14646	13830
4486	63967
69602	85828
-28744	12872
11932	-26434
77076	-61987
-7223	84462
-49717	1053
-98942	-3690
-74425	-39884
-82739	78229
-84361	18914
88910	69247
-22164	-31491
-54820	-37720
-43646	57040
-21168	93026
14819	-47313
-38660	91289
-34797	1215
-48971	-83464
45890	-78123
-95746	-30049
5124	-65947
6057	52065
5614	61899
-512	-82005
-18109	25411
-88342	-28379
54080	93696
49855	35515
30092	-50140
-27557	-64795
-87223	-3176
-73013	44370
69427	19506
-8011	-48202
-81927	-88826
58818	31470
38357	70437
46844	-76124
-75699	80203
-42489	-30306
-37850	-8934
-57999	76193
38510	-51023
82354	-57746
62336	30680
67354	19654
18891	-19719
-17835	46257
-35383	76441
24683	51026
18926	2089
-88271	1268
-87743	-62854
44679	-60711
9279	-50316
-33195	-61358
-58014	-77978
63560	99401
59462	-84307
32226	97417
29440	52822
-21205	-95742
-88678	71326
87639	2538
61189	97529
53482	-64371
-73649	72102
65389	-48800
-59646	63928
88888	24855
-61116	11340
-94888	83091
-17120	41331
34710	-15918
-2811	34700
99542	-39686
11458	-71247
-43431	-21186
24494	-20952
76072	32773
4165	37793
-69730	-57423
81984	48932
8602	14800
4822	8523
82375	84453
-34213	-6044
-95792	48800
52116	-73342
46595	-9707
-80008	-99685
59155	-18284
-65473	-19710
-44446	68361
97727	-40210
28787	-69936
28061	44461
-62552	-59782
52326	29482
-94167	-40655
-76146	31868
-62875	27607
-9384	45551
-48347	-46393
2659	97970
-68874	36128
-29644	4262
74956	928
-36753	38787
56219	86489
73870	73607
-97478	70623
-38239	69663
20944	94099
39880	48784
36465	7934
69056	23286
19713	47806
85596	14820
-57448	-78006
3039	55233
18998	88543
-98917	-70383
-35868	92857
-56932	-4666
-64874	-61332
47933	90699
6190	-26651
83410	-66873
73218	82787
44278	98944
84055	-88451
32817	75685
46814	-49170
68181	-17416
-18687	69664
17232	-33890
47692	4171
61422	-5245
-88572	65082
92670	956
-14563	75565
65719	47866
-72366	-90610
25289	34872
66275	-36311
73419	-1911
75596	71135
-54298	-89250
30708	-66936
-75315	43233
-66596	-61893
-65454	3652
-80516	20148
33203	-52708
33397	4926
-53654	-83201
87427	96366
-27541	54949
-89615	-38281
-71299	-82093
34667	88872
4600	-90687
-29230	-90338
43830	-45857
74791	9822
83914	-63831
27111	-20829
-50498	-66002
-90544	94927
-83028	-91968
-7336	76526
-53613	14336
28989	2091
-88554	-48725
80424	-65297
48856	80922
-91496	70884
95646	-90383
-98791	94198
86257	60692
19078	93664
-59199	-72745
-94702	89633
-8285	-45936
-76501	99105
68120	-35087
62182	-32098
85462	-74447
-23861	98921
72662	12103
-77064	-86328
9748	40987
-3538	-1428
-53951	8861
59750	7984
22362	89593
-64285	-77279
30038	-59742
-72841	-4231
5782	-20754
6325	56237
83018	16951
39490	-11972
-999	43151
-6470	-48484
91417	-94930
9067	74490
-90957	46244
-81211	-97094
-91907	18705
39697	72496
-90776	-70401
74487	39010
49711	-61704
-80017	87924
81160	-18891
99470	33661
35152	68188
10970	13904
-92419	-29262
14954	-13666
96979	96635
-27316	-56874
72961	38607
-9685	72798
-52004	71555
24076	-80477
79010	-25778
58322	16761
-65072	-44717
-19094	-94915
32049	-24913
49309	83316
-38750	-28369
-33895	87621
9305	23024
63852	-55048
11204	-91472
-62865	-94775
61156	66452
53458	20919
-42967	-10488
